lng,lat
140.198465,37.505538
140.178838,37.491836
140.205590,37.514910
140.208327,37.514952
140.206022,37.496572
140.193610,37.500788
140.173519,37.495171
140.163542,37.492497
140.211980,37.513659
140.199786,37.515900
140.216407,37.518402
140.184495,37.501726
140.172522,37.491289
140.195797,37.492818
140.166886,37.488143
140.166882,37.488233
140.214099,37.514770
140.183889,37.484361
140.207725,37.519259
140.172964,37.491026
140.163102,37.499864
140.192941,37.488548
140.193675,37.488199
140.215564,37.517850
140.185515,37.483307
140.163793,37.496997
140.158276,37.494483
140.194671,37.506739
140.167365,37.483385
140.167321,37.488060
140.172881,37.482302
140.197319,37.509028
140.160434,37.501711
140.215936,37.504636
140.215377,37.526300
140.185591,37.485017
140.164763,37.483614
140.159271,37.501962
140.182860,37.484885
140.166709,37.492547
140.165997,37.492356
140.214056,37.519535
140.205446,37.514908
140.176955,37.488480
140.158650,37.495928
140.227035,37.519372
140.192799,37.499426
140.173334,37.481769
140.196819,37.510729
140.193059,37.500150
140.157984,37.494568
140.170251,37.486847
140.221160,37.514787
140.178139,37.487689
140.218090,37.515910
140.210203,37.511203
140.214021,37.524121
140.209563,37.516499
140.178728,37.480144
140.155880,37.489589
140.203266,37.508040
140.182567,37.481373
140.215743,37.505892
140.157499,37.492312
140.205256,37.516074
140.180503,37.486197
140.193459,37.500965
140.160914,37.496952
140.210912,37.518858
140.179323,37.486898
140.190458,37.489409
140.224558,37.520054
140.201846,37.522136
140.210248,37.517409
140.181786,37.479293
140.178436,37.480230
140.156758,37.492840
140.208464,37.515134
140.193462,37.500875
140.156165,37.489684
140.193610,37.500788
140.169718,37.492953
140.202383,37.512163
140.176260,37.484243
140.167361,37.483474
140.168203,37.487624
140.198869,37.506264
140.194628,37.493250
140.167994,37.492837
140.166620,37.487599
140.167653,37.483389
140.206229,37.498643
140.186404,37.482691
140.173331,37.481859
140.185780,37.480254
140.202664,37.497689
140.173755,37.482045
140.201527,37.508283
140.192790,37.488725
140.182712,37.484972
140.170837,37.486586
140.160578,37.501713
140.161495,37.486080
140.197795,37.511553
140.188655,37.487672
140.157341,37.492670
140.187321,37.492238
140.173897,37.496526
140.204204,37.520824
140.204365,37.509406
140.209282,37.516315
140.178456,37.490572
140.186209,37.502112
140.185633,37.480341
140.184611,37.480685
140.172792,37.495339
140.191112,37.494724
140.173910,37.485375
140.194273,37.509521
140.180618,37.501396
140.188218,37.502323
140.209967,37.517225
140.166296,37.488494
140.169430,37.496546
140.167177,37.488058
140.160171,37.501077
140.167519,37.497505
140.199786,37.515900
140.179172,37.487076
140.216361,37.515883
140.170697,37.490091
140.174990,37.483593
140.180830,37.485213
140.221550,37.515872
140.206402,37.512584
140.175087,37.484764
140.205994,37.515635
140.163316,37.483771
140.215564,37.517850
140.165788,37.490374
140.198863,37.491786
140.214025,37.524031
140.181239,37.478565
140.206159,37.496754
140.167653,37.483389
140.157211,37.492308
140.188655,37.487672
140.196032,37.494170
140.209696,37.516771
140.177109,37.481019
140.196093,37.499927
140.221297,37.514969
140.194612,37.497296
140.187454,37.481629
140.184331,37.484098
140.174936,37.484941
140.184348,37.490933
140.184191,37.484006
140.207855,37.519620
140.188795,37.487764
140.204561,37.497089
140.215898,37.527746
140.222692,37.516159
140.186404,37.482691
140.175627,37.489269
140.196015,37.509188
140.187642,37.502314
140.180015,37.491225
140.182272,37.481548
140.201073,37.512503
140.215564,37.517850
140.170772,37.488204
140.189939,37.495246
140.190828,37.501914
140.183856,37.481573
140.172057,37.492091
140.193227,37.492239
140.159540,37.491715
140.194437,37.512670
140.200994,37.492538
140.173594,37.493284
140.183028,37.495139
140.209149,37.516043
140.226358,37.521970
140.195176,37.508545
140.175821,37.484416
140.158682,37.484418
140.191108,37.502098
140.209353,37.510831
140.174717,37.494021
140.185640,37.480162
140.196000,37.494979
140.185373,37.479618
140.161249,37.492191
140.161525,37.499660
140.159196,37.500252
140.209245,37.506243
