lng,lat
140.898465,37.505538
140.878838,37.491836
140.905590,37.514910
140.908327,37.514952
140.906022,37.496572
140.893610,37.500788
140.873519,37.495171
140.863542,37.492497
140.911980,37.513659
140.899786,37.515900
140.916407,37.518402
140.884495,37.501726
140.872522,37.491289
140.895797,37.492818
140.866886,37.488143
140.866882,37.488233
140.914099,37.514770
140.883889,37.484361
140.907725,37.519259
140.872964,37.491026
140.863102,37.499864
140.892941,37.488548
140.893675,37.488199
140.915564,37.517850
140.885515,37.483307
140.863793,37.496997
140.858276,37.494483
140.894671,37.506739
140.867365,37.483385
140.867321,37.488060
140.872881,37.482302
140.897319,37.509028
140.860434,37.501711
140.915936,37.504636
140.915377,37.526300
140.885591,37.485017
140.864763,37.483614
140.859271,37.501962
140.882860,37.484885
140.866709,37.492547
140.865997,37.492356
140.914056,37.519535
140.905446,37.514908
140.876955,37.488480
140.858650,37.495928
140.927035,37.519372
